District Name,District Code,Taluka Name,Taluka Code,Village Name,Village Code,DTV Code
કચ્છ,01,ભચાઉ,03,ગઢડા - 008,008,0103008
કચ્છ,01,ભચાઉ,03,ગણેશપર - 010,010,0103010
કચ્છ,01,ભચાઉ,03,ગામડાઉ - 028,028,0103028
કચ્છ,01,ભચાઉ,03,ગોડપર - 064,064,0103064
કચ્છ,01,ભચાઉ,03,ઘરાણા - 056,056,0103056
કચ્છ,01,ભચાઉ,03,ઘોળાવીરા - 001,001,0103001
કચ્છ,01,ભચાઉ,03,ચાંદ્રોડી - 068,068,0103068
કચ્છ,01,ભચાઉ,03,ચીરઈ નાની - 048,048,0103048
કચ્છ,01,ભચાઉ,03,ચીરઈ મોટી - 047,047,0103047
કચ્છ,01,ભચાઉ,03,ચોપડવા - 046,046,0103046
કચ્છ,01,ભચાઉ,03,ચોબારી - 013,013,0103013
કચ્છ,01,ભચાઉ,03,છાડવાડા - 050,050,0103050
કચ્છ,01,ભચાઉ,03,જંગી - 052,052,0103052
કચ્છ,01,ભચાઉ,03,જડસા - 016,016,0103016
કચ્છ,01,ભચાઉ,03,જનાણ - 004,004,0103004
કચ્છ,01,ભચાઉ,03,તોરણીયા - 027,027,0103027
કચ્છ,01,ભચાઉ,03,નેર-અમરસર - 021,021,0103021
કચ્છ,01,ભચાઉ,03,નરા - 029,029,0103029
કચ્છ,01,ભચાઉ,03,નારાણસરી - 067,067,0103067
કચ્છ,01,ભચાઉ,03,પીપરાપાટી - 055,055,0103055
કચ્છ,01,ભચાઉ,03,બંઘડી - 023,023,0103023
કચ્છ,01,ભચાઉ,03,બાનીયારી - 022,022,0103022
કચ્છ,01,ભચાઉ,03,બાપુઆરી - 006,006,0103006
કચ્છ,01,ભચાઉ,03,બાંભણકા - 005,005,0103005
કચ્છ,01,ભચાઉ,03,ભચાઉ - 074,074,0103074
કચ્છ,01,ભચાઉ,03,ભુજપર - 043,043,0103043
કચ્છ,01,ભચાઉ,03,ભરુડીયા - 011,011,0103011
કચ્છ,01,ભચાઉ,03,મેઘપર-કુંજીસર - 024,024,0103024
કચ્છ,01,ભચાઉ,03,મનફરા - 014,014,0103014
કચ્છ,01,ભચાઉ,03,માય - 018,018,0103018
કચ્છ,01,ભચાઉ,03,મોડપર - 063,063,0103063
કચ્છ,01,ભચાઉ,03,મોરગર઼-દેશલપર - 041,041,0103041
કચ્છ,01,ભચાઉ,03,રતનપર - 007,007,0103007
કચ્છ,01,ભચાઉ,03,રાજણસર - 059,059,0103059
કચ્છ,01,ભચાઉ,03,રાજથલી - 070,070,0103070
કચ્છ,01,ભચાઉ,03,રામપર - 034,034,0103034
